순번,업소명,연락처,팩스,주소,영업시간,휴무일,기본정보,장애인 편의 시설,주출입구,장애인전용주차구역,출입문 문 폭,복도/통로,장애인용 엘리베이터,장애인용 화장실,음식점 좌석/테이블,장애인용 관람석,접수대 작업대,샤워실 탈의실,테이블/진열대 등 통로 폭,장애인용 객실,여객시설,비치용품,이용가능댓수,턱 치수 *삭제된 항목,단차 cm,메뉴명,경도,위도,다음 경도,다음 위도,소분류,접근여부,엘리베이터 여부,화장실 여부,경사로 여부,,,,2
11,방식꽃예술원,02-747-4563,02-763-6795,서울시 종로구 연건동 138-2,㏂07:00~㏘20:00,명절휴무,주출입구에 단차 없음.    매장 내부 통로로 휠체어 이동가능.    계산대(휠체어) 이용가능.,주출입구단차없음,턱이나 계단 없음 경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,,,,생활,127.00191,37.57813,200168.7165,453175.6,음식점,1,2,2,2,,,,2
12,솔투어여행사,02-749-9666,02-749-9665,서울시 용산구 이촌로 70 103호,㏂09:00~㏘18:00,,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),,,,,,이용불편(높이 90cm 이하),,,,,,,,,문화,126.95633,37.52582,196139.7908,447370.7112,여객시설/지하철역,1,2,2,1,,,,2
13,남북의료기,02-762-3542,02-742-4125,서울시 종로구 창신2동 696-1,㏂10:00~㏘21:00,공휴일,의료기기  파는곳  안에 입구가  좁아짐.,주출입구단차없음지하철접근가능지상버스접근가능,턱이나 계단 없음 경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동불편,,,,,,,,,,,,,,생활,127.00998,37.57175,200881.6408,452467.5388,슈퍼마켓 등 판매점,1,2,2,2,,,,2
14,올레kt 남영역점,02-718-7023,02-718-7024,서울시 용산구 한강대로 77길 8,㏂10:00~㏘20:00,,,,경사로 이용불편(기울기 5도 초과),주차장없음,이용가능(80cm 이상),이동가능,,,,,,,이용가능(80cm 이상),,,,,,,생활,126.97214,37.5422,197537.8542,449188.1581,슈퍼마켓 등 판매점,2,,2,3,,,,2
15,새남터 기념성당,02-716-1791,02-716-1794,서울시 용산구 이촌로 80-8,미사시간마다 다름,,,장애인용화장실일반엘리베이터장애인용주차장,경사로 이용가능(기울기 5도 이하),이용가능장애인전용주차구역 크기 적합,이용가능(80cm 이상),이동가능,일반 엘리베이터만 있음,남녀별도대변기 손잡이 이용 불편,,장애인용 관람석 중간비장애인 동석 가능,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,1,,,문화,126.95707,37.52513,196205.1681,447294.0997,종교시설,2,2,1,2,,,,1
16,Tworld 씨에이치대리점 원효점,070-7431-3910,02-701-3910,서울시 용산구 원효로1가 133-3 103호 리첸시아A동,㏂10:00~㏘19:00,,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,,,,생활,126.96736,37.53828,197115.2675,448753.2218,슈퍼마켓 등 판매점,1,2,2,1,,,,2
17,옥인교회,02-735-3981~3,02-735-3980,서울시 종로구 자하문로 69,,,,장애인용화장실장애인용엘리베이터일반주차장지하철접근가능,턱이나 계단 없음경사로 이용불편(기울기 5도 초과),,이용가능(80cm 이상),,,남녀별도미닫이문대변기 전면만 접근 가능대변기 손잡이 이용 가능,,,,,,,,,,,,문화,126.97034,37.58222,197380.1797,453629.955,종교시설,2,1,1,3,,,,1
18,삼통치킨 영등포구청점,02-2658-1123,,서울시 영등포구 당산로 137 세종빌딩 1층,㏘14:00~㏂02:00,연중무휴,,주출입구단차없음지하철접근가능,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동불편,,,1개씩 이동 가능한 좌석,,이용불편(높이 90cm 초과),,이용가능(80cm 이상),,,,,,,생활,126.89671,37.52698,190869.8218,447503.5737,음식점,1,2,2,1,,,,2
19,LG유플러스 우리모바일성북지점,070-8242-6610,070-8692-6664,서울시 성북구 하월곡동 16-7,㏂10:00~㏘21:00,매주 일요일,,지하철접근가능지상버스접근가능,경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동가능,,,,,,,이용가능(80cm 이상),,,,,,,생활,127.04213,37.60299,203720.2414,455935.613,슈퍼마켓 등 판매점,2,2,2,2,,,,2
20,교보문고 목동점,1544-1900,0502-987-5757,서울시 양천구 목1동 917-1 CBS 지하 1층,,,CBS건물로 들어가 승강기 이용.   서점이외 문구점과 작은 휴식공간(커피. 빵) 있음.  화장실은 건물 1층 공중화장실 사용해야하고 장애인화장실 남자 쪽에만 있음.,장애인용화장실일반엘리베이터장애인용주차장일반주차장주출입구단차없음지하철접근가능지상버스접근,턱이나계단없음,이용가능,이용가능(80cm 이상),이동가능,일반 엘리베이터만 있음,남녀공용미닫이문대변기 전면만 접근 가능대변기 손잡이 이용 불편,,,,,,,,,,,,생활,126.87489,37.52831,188941.2684,447653.529,슈퍼마켓 등 판매점,1,2,1,1,,,,1
21,태평양약국,02-2652-7214,0303-3132-7214,서울시 강서구 화곡4동 775-7 강서참사랑병원 1층,㏂08:10~㏘20:00,공휴일 일요일,,주출입구단차없음지상버스접근가능,턱이나계단없음,주차장없음,이용가능(80cm 이상),,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 미만),,,,,,,의료,126.86337,37.5337,187923.8603,448253.1695,병원,1,2,2,1,,,,2
22,내외약국,02-2697-5065,0303-3132-5065,서울시 양천구 신월4동 544-9 1층,㏂09:00~㏘21:00,일요일 명절,,일반주차장지상버스접근가능,경사로 이용불편(기울기 5도 초과),일반 주차장만 있음,이용가능(80cm 이상),,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,,,,의료,126.84179,37.51831,186013.6226,446548.0596,병원,2,2,2,3,,,,2
23,뉴대원약국,02-963-0792,02-969-0339,서울시 성북구 석관동349-1,㏂09:00~㏘21:00,매주 일요일,1층에 장애인  화장실 주차장 있습니다,장애인용화장실장애인용엘리베이터장애인용주차장주출입구단차없음지하철접근가능지상버스접근가능,턱이나계단없음,장애인전용주차구역 크기 적합,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치음성신호장치 설치,바깥 열림 여닫이문대변기 전면만 접근 가능대변기 손잡이 이용 가능,,,,,,,,,,,,의료,127.05691,37.6104,205024.874,456758.7303,병원,1,1,1,1,,,,1
24,석관약국,02-967-0777,02-967-6826,서울시 성북구 석관동  252-4,㏂09:00~㏘21:00,매주 일요일,석관동 국민은행옆,주출입구단차없음,턱이나 계단 없음 경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,,,,,,,,의료,127.05866,37.60895,205179.491,456597.8911,병원,1,2,2,2,,,,2
25,진로식자재마트,02-966-4322,02-965-2228,서울시 성북구 화랑로 248,㏂09:00~㏘23:00,,1층에는 에스컬레이터  엘리베이터  이용 지하 1층   넓 은 이동공간,장애인용화장실장애인용엘리베이터장애인용주차장주출입구단차없음지하철접근가능지상버스접근가능,턱이나계단없음,장애인전용주차구역 크기 적합,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치음성신호장치 설치,바깥 열림 여닫이문대변기 전면만 접근 가능대변기 손잡이 이용 가능,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,,,,생활,127.05691,37.6104,205024.874,456758.7303,슈퍼마켓 등 판매점,1,1,1,1,,,,1
26,메디팜믿음약국,02-963-3249,02-964-3739,서울시 성북구 돌곶이로45,㏂09:00~㏘21:00,매주 일요일,경사로  좁지만 들어가고 나오는데 문제 없을듯,지하철접근가능지상버스접근가능,턱이나 계단 없음 경사로 이용가능(기울기 5도 이하),주차장없음,,,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,,,,의료,127.05957,37.60815,205259.8974,456509.1505,병원,2,2,2,2,,,,2
27,진호온누리약국 석관점,02-964-1944,02-964-1945,서울시 성북구 석관동306-7,㏂08:30~㏘22:00,매주 일요일,약국,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,,,,,,,,,,,,의료,127.06058,37.6076,205349.1175,456448.1635,병원,1,2,2,1,,,,2
28,삼성디지털프라자 성북점,02-963-4537-8,02-963-4539,서울시 성북구 석관동173-1,㏂09:00~㏘21:00,공휴일,석계역돌곶이역중간에 있음,지상버스접근가능,경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동가능,,,,,,,,,,,,,,생활,127.06068,37.61242,205357.6016,456983.1368,슈퍼마켓 등 판매점,2,2,2,2,,,,2
29,해피플라워,02-941-6401,02-941-6401,서울시 성북구 종암동3-602,㏂10:00~㏘21:00,연중무휴,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,,,,,,,,,,,,생활,127.03366,37.60139,202972.3714,455757.7288,슈퍼마켓 등 판매점,1,2,2,1,,,,2
30,카페 나인,02-925-0720,02-925-0220,서울시 동대문구 왕산로 28 부티크 1층,㏂09:00~㏘23:00,,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,1개씩 이동 가능한 좌석,,,,,,,,,,,생활,127.02681,37.57638,202368.2693,452981.7063,음식점,1,2,2,1,,,,2
31,돈암점 알파,02-921-4110,02-925-4110,서울시 성북구 보문로 173,㏂09:30~㏘19:30,매주 일요일,,지하철접근가능지상버스접근가능,경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 미만),,,,,,,,,,,,,,,생활,127.01568,37.58944,201384.8555,454430.9951,슈퍼마켓 등 판매점,2,2,2,2,,,,2
32,피노키오 장애자립생활센터,02-967-4540,02-921-4541,서울시 동대문구 고산자로 549,㏂09:00~㏘18:00,,,장애인용화장실주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,남녀공용미닫이문대변기 전면/측면 모두 접근 가능대변기 손잡이 이용 가능,,,,,,,,,,,,생활,127.03687,37.58834,203256.4015,454309.431,복지시설,1,2,1,1,,,,1
33,서울하나내과,02-916-0875,02-916-0707,서울시 성북구 돌곶이로37,㏂09:00~㏘18:30,공휴일 일요일,진료과목  내과  소아청소년과  이비인후과 피부과  부설 인공신장실,장애인용화장실장애인용엘리베이터일반주차장주출입구단차없음지하철접근가능지상버스접근가능,턱이나계단없음,일반 주차장만 있음,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치음성신호장치 설치,자동문대변기 전면/측면 모두 접근 가능,,,,,,,,,,,,의료,127.06025,37.60746,205319.989,456432.6063,병원,1,1,1,1,,,,1
34,석계태평양약국,02-915-1190,02-914-6994,서울시 노원구 화랑로 321,㏂09:00~㏘20:00 토요일~㏘18:00,매주 일요일,움지이기  편한넓은공간,지하철접근가능지상버스접근가능,경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동가능,,,,,,,,,,,,,,의료,127.0635,37.61468,205606.4174,457234.1371,병원,2,2,2,2,,,,2
35,아르페지오 장위직영점,02-913-7979,02-913-1295,서울시 성북구 한천로625,㏂09:00~㏘21:00,매주 일요일,직영점이라 규모가 큰거같음,주출입구단차없음지상버스접근가능,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,,,,,,,,,,,,생활,127.05878,37.61438,205189.7092,457200.5689,슈퍼마켓 등 판매점,1,2,2,1,,,,2
36,새국민약국,02-909-3463,02-909-3460,서울시 성북구 화랑로 91,㏂09:00~㏘21:00,매주 일요일,,지하철접근가능지상버스접근가능,경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),이동가능,,,,,,,,,,,,,,의료,127.04211,37.60298,203718.4758,455934.5023,병원,2,2,2,2,,,,2
37,기당종합주방,02-909-2030,02-909-2031,서울시 성북구 장위동 50-25,㏂09:00~㏘21:00,매주 일요일,지상버스  지하철 접근 가능 안에 통로 좁은곳도 넓은 곳도,,경사로 이용가능(기울기 5도 이하),주차장없음,이용가능(80cm 이상),,,,,,,,,,,,,,,생활,127.05932,37.61234,205237.5291,456974.1809,슈퍼마켓 등 판매점,2,,2,2,,,,2
38,도기랑냥이랑애완용품아울렛 관악2호점,02-884-0006,02-884-8366,서울시 관악구 봉천동 947-18 1층,㏂11:00~㏘22:00,공휴일,내부 공간  협소.,지하철접근가능지상버스접근가능,경사로 이용불편(기울기 5도 초과),,이용가능(80cm 이상),,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 미만),,,,,,,생활,126.93873,37.48325,194580.9628,442646.8566,슈퍼마켓 등 판매점,2,2,2,3,,,,2
39,한길약국,02-876-2861,02-878-7311,서울시 관악구 봉천동 926-29 지성빌딩 1층,㏂08:30~㏘22:00,일요일 명절,,지하철접근가능지상버스접근가능,경사로 이용불편(기울기 5도 초과),주차장없음,이용가능(80cm 이상),,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 미만),,,,,,,의료,126.9434,37.48247,194993.9499,442560.0284,병원,2,2,2,3,,,,2
40,반석온누리 약국,02-876-8838,02-876-8838,서울시 관악구 중앙동 859-17 A동 관악위버폴리스 3층  308호,㏂09:00~㏘19:00,일요일 명절,,장애인용엘리베이터일반엘리베이터장애인용주차장일반주차장주출입구단차없음지하철접근가능지상버스,턱이나계단없음,이용가능장애인전용주차구역 크기 적합,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치,,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,4,,,의료,126.95323,37.48272,195863.389,442587.2978,병원,1,1,2,1,,,,2
41,LG전자베스트샵 봉천역점,02-874-7777,02-874-7779,서울시 관악구 서원동 10-634 S&G 빌딩 1층,㏂10:30~㏘20:30,연중무휴,,장애인용화장실일반엘리베이터장애인용주차장일반주차장지하철접근가능지상버스접근가능,경사로 이용불편(기울기 5도 초과),이용가능,이용가능(80cm 이상),이동불편,일반 엘리베이터만 있음,남녀별도바깥 열림 여닫이문대변기 전면만 접근 가능대변기 손잡이 이용 불편,,,이용불편(높이 90cm 초과),,이용가능(80cm 미만),,,,,,,생활,126.93762,37.48385,194482.8327,442713.5131,슈퍼마켓 등 판매점,2,2,1,3,,,,1
42,베스톤 피부비뇨기과,02-861-6235,02-862-6235,서울시 관악구 신림동 518-1번지 경신빌딩 4층 402호,㏂09:30~㏘18:30,일요일 공휴일,,장애인용엘리베이터장애인용주차장일반주차장주출입구단차없음지하철접근가능지상버스접근가능,턱이나계단없음,이용가능,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 초과),,,,,,1,,,의료,126.91333,37.48672,192334.8089,443033.7456,병원,1,1,2,1,,,,2
43,베스코화장품도소매 봉천점,02-848-8288,02-832-7262,서울시 관악구 봉천동 947-18 12층,㏂09:00~㏘22:00,명절,내부 공간  협소.,지하철접근가능지상버스접근가능,경사로 이용불편(기울기 5도 초과),주차장없음,이용가능(80cm 이상),,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 미만),,,,,,,생활,126.93873,37.48325,194580.9628,442646.8566,슈퍼마켓 등 판매점,2,2,2,3,,,,2
44,안경은얼굴이다 노량진점,02-823-2034,02-823-2036,서울시 동작구 노량진동 151-14 종로학원 1층,㏂10:00~㏘21:00,,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,,,,생활,126.94454,37.51406,195096.8443,446066.0483,슈퍼마켓 등 판매점,1,2,2,1,,,,2
45,늘건강내과 이비인후과 종합건강검진센터,02-822-3375 3075,02-822-4589,서울시 동작구 상도2동 365-2 동서남북빌딩 23층,㏂08:30~㏘19:00,일요일 공휴일,종합건강검진센터.  위 대장 내시경 (수면),장애인용엘리베이터일반주차장주출입구단차없음지하철접근가능지상버스접근가능,턱이나계단없음,일반 주차장만 있음,이용가능(80cm 이상),이동불편,휠체어 사용자용 조작반 설치,,,,이용불편(높이 90cm 초과),,이용가능(80cm 이상),,,,,,,의료,126.93839,37.50431,194552.4213,444984.2611,병원,1,1,2,1,,,,2
46,신중앙약국,02-822-0443,02-822-0448,서울시 동작구 흑석로 103,㏂10:00~㏘24:00,,,,경사로 이용불편(기울기 5도 초과),주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,,,,의료,126.96083,37.50786,196536.7384,445377.2031,병원,2,,2,3,,,,2
47,흑석한강공인중개사,02-822-5353,02-817-2900,서울시 동작구 흑석동 335-1 103호 흑석한강센트레빌,㏂09:30~㏘20:00,,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,,,,,,,,생활,126.96648,37.5066,197036.24,445237.1663,부동산,1,2,2,1,,,,2
48,뱅뱅 신대방점,02-814-9647,02-816-4162,서울시 동작구 상도3동 328-13 양석원내과의원  1층,㏂10:00~㏘22:30,명절,,지하철접근가능지상버스접근가능,경사로 이용불편(기울기 5도 초과),주차장없음,이용가능(80cm 이상),,,,,,이용불편(높이 90cm 초과),,이용가능(80cm 미만),,,,,,,생활,126.93108,37.50028,193905.7408,444537.4313,슈퍼마켓 등 판매점,2,2,2,3,,,,2
49,영동공인중개사사무소,02-816-6190,02-816-3118,서울시 동작구 현충로 115 명수대 현대 A상가 10호,㏂10:00~㏘20:00,,,주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,,,,생활,126.96656,37.50734,197043.3426,445319.2943,부동산,1,2,2,1,,,,2
50,자카디 동부이촌점,02-796-7254,02-695-7255,서울시 용산구 이촌동 302-68 풍원상가 1층 106호,㏂10:00~㏘20:00,,,,경사로 이용불편(기울기 5도 초과),주차장없음,이용가능(80cm 이상),이동가능,,,,,,,,,,,,,,생활,126.96735,37.52118,197113.7249,446855.3341,슈퍼마켓 등 판매점,2,,2,3,,,,2
51,스마트치과,02-3661-6205,02-6737-6205,서울시 강서구 가양2동 14-51 토피아빌딩 5층 501호,㏂09:30~㏘18:30,일요일 공휴일,,장애인용화장실장애인용엘리베이터장애인용주차장일반주차장주출입구단차없음지하철접근가능지상버스,턱이나계단없음,이용가능,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치,남녀별도바깥 열림 여닫이문대변기 전면만 접근 가능대변기 손잡이 이용 가능,,,이용불편(높이 90cm 초과),탈의실 수납공간 이용불편(높이 1.2m 초과 하부공간 미확보),이용가능(80cm 이상),,,,1,,,의료,126.85508,37.56153,187195.9036,451343.063,병원,1,1,1,1,,,,1
52,서울재활병원,02-6020-3000,02-6020-3015,서울시 은평구 구산동 191-1,㏂08:30~㏘17:30,주말 공휴일,서울재활병원은 은평천사원 앞의 재활전문병원이다. 본관은 턱이나 계단이 없으며 1층의 원무과 외래 재활훈련실 소아 병동이 있으며 본관 왼쪽옆의 서부 스포츠센터 7층에 성인재활훈련실 8층에 성인 병동이 있,장애인용화장실일반화장실장애인용엘리베이터일반엘리베이터장애인용주차장일반주차장주출입구단차없,턱이나계단없음,이용가능,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치음성신호장치 설치,남녀별도커튼식 접이문대변기 손잡이 이용 가능,,,이용불편(높이 90cm 초과),출입구에 턱이나 계단 없음샤워실 휠체어 접근 가능샤워용 의자 미설치샤워기 이용불편(휠체어서 손에 안 닿는 위치),,,,,3.5m×4.9m,,,의료,126.90681,37.60568,191771.2594,456237.4224,병원,1,1,1,1,,,,1
53,밝은미소약국,02-594-5626,02-594-5627,서울시 동작구 사당3동 252-17 서림빌딩 1층 108호,㏂09:00~㏘21:30,일요일 명절,,장애인용화장실장애인용엘리베이터일반엘리베이터장애인용주차장일반주차장주출입구단차없음지하철접,턱이나계단없음,이용가능,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치,남녀별도대변기 전면만 접근 가능대변기 손잡이 이용 불편접이식문,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,2,,,의료,126.97237,37.48463,197556.3043,442798.6136,병원,1,1,1,1,,,,1
54,복지약국,02-584-5031,02-584-5036,서울시 동작구 사당5동 246-8 1층 (사당로194),㏂09:00~㏘22:00,일요일 명절,입구에 인도 쪽 길이 경사가 기우러져 있음.,주출입구단차없음지하철접근가능지상버스접근가능,턱이나계단없음,주차장없음,이용가능(80cm 이상),,,,,,이용불편(높이 90cm 이하),,이용가능(80cm 이상),,,,,,,의료,126.96962,37.4851,197313.1013,442850.8523,병원,1,2,2,1,,,,2
55,메이저피부과 신촌점,02-392-7582,02-392-7589,서울시 서대문구 창천동 18-26 VERIGO타워 4층,㏂10:00~㏘19:30,매주 일요일,피검사로 알레르기 검사 가능  월금 21시까지 연장영업  수 14:00~21:00  토 10:00~16:30  장애인화장실 지하1층 이용,장애인용화장실일반화장실장애인용엘리베이터주출입구단차없음,턱이나계단없음,주차장없음,이용가능(80cm 이상),이동가능,휠체어 사용자용 조작반 설치음성신호장치 설치,남녀별도미닫이문대변기 전면만 접근 가능대변기 손잡이 이용 가능,,,이용불편(높이 90cm 이하),,,,,,,,,의료,126.93739,37.55633,194467.8443,450757.8957,병원,1,1,1,1,,,,1
56,이강운커펌 대학로1호점,02-3676-3766,02-3676-3767,서울시 종로구 헤화동 185 중원빌딩 2층,,,대학로중원빌딩2층에 있으며 엘리버이터사용가능. 내부공간이 넓어서 휠체어이용가능.,장애인용엘리베이터일반주차장주출입구단차없음지하철접근가능지상버스접근가능,,일반 주차장만 있음,이용가능(80cm 이상),이동가능,,남녀별도,,,,,,,,,,,,생활,127.00217,37.58396,200191.6682,453822.6638,미용실,2,1,2,4,,,,2
57,종로마취통증의학과의원,02-3675-7650,02-3675-7651,서울시 종로구 종로 223 우교빌딩,㏂09:00~㏘20:30,일요일 명절,#NAME?,장애인용화장실일반엘리베이터주출입구단차없음지하철접근가능지상버스접근가능,턱이나 계단 없음경사로 이용불편(기울기 5도 초과),주차장없음,이용가능(80cm 이상),이동가능,일반 엘리베이터만 있음,남녀공용미닫이문대변기 손잡이 이용 불편,,,이용불편(높이 90cm 초과),,이용가능(80cm 이상),,,,,,,의료,127.00249,37.57136,200219.9697,452424.2094,병원,2,2,1,3,,,,1
